# rank, time, memory kiB
2, 1.53567441509445405e+09, 186872
2, 1.53567441559465599e+09, 186872
2, 1.53567441609484005e+09, 186872
2, 1.53567441659505010e+09, 186872
2, 1.53567441709523702e+09, 186872
2, 1.53567441759543896e+09, 186872
2, 1.53567441809562802e+09, 186872
2, 1.53567441859586000e+09, 187136
2, 1.53567441909606600e+09, 187136
2, 1.53567441959627390e+09, 187136
2, 1.53567442009645605e+09, 187136
2, 1.53567442059665799e+09, 187136
2, 1.53567442109683800e+09, 187136
2, 1.53567442159703898e+09, 187136
2, 1.53567442209721994e+09, 187136
2, 1.53567442259744310e+09, 187136
2, 1.53567442309767389e+09, 187136
2, 1.53567442359788895e+09, 187136
2, 1.53567442409807611e+09, 187136
2, 1.53567442459831500e+09, 187136
2, 1.53567442509851193e+09, 187136
2, 1.53567442559871101e+09, 187136
2, 1.53567442609890008e+09, 187136
2, 1.53567442659910488e+09, 187136
2, 1.53567442709929109e+09, 187136
2, 1.53567442759951401e+09, 187400
2, 1.53567442809971905e+09, 187400
2, 1.53567442859992695e+09, 187400
2, 1.53567442910010791e+09, 187400
2, 1.53567442960031009e+09, 187400
2, 1.53567443010049009e+09, 187400
2, 1.53567443060069108e+09, 187400
2, 1.53567443110087109e+09, 187400
2, 1.53567443160108399e+09, 187400
2, 1.53567443210131788e+09, 187400
2, 1.53567443260156107e+09, 187400
2, 1.53567443310174704e+09, 187400
2, 1.53567443360194993e+09, 187400
2, 1.53567443410213208e+09, 187400
2, 1.53567443460233808e+09, 187400
2, 1.53567443510252404e+09, 187400
2, 1.53567443560272598e+09, 187400
2, 1.53567443610290504e+09, 187400
2, 1.53567443660311794e+09, 187400
2, 1.53567443710333300e+09, 187400
2, 1.53567443760357499e+09, 187400
2, 1.53567443810377693e+09, 187400
2, 1.53567443860398006e+09, 187400
2, 1.53567443910416102e+09, 187400
2, 1.53567443960436606e+09, 187400
2, 1.53567444010454702e+09, 187400
2, 1.53567444060474801e+09, 187400
2, 1.53567444110493398e+09, 187400
2, 1.53567444160514688e+09, 187400
2, 1.53567444210537410e+09, 187664
2, 1.53567444260558796e+09, 187664
2, 1.53567444310577202e+09, 187664
2, 1.53567444360597396e+09, 187664
2, 1.53567444410615802e+09, 187664
2, 1.53567444460636401e+09, 187664
2, 1.53567444510654998e+09, 187664
2, 1.53567444560675693e+09, 187664
2, 1.53567444610692310e+09, 187664
2, 1.53567444660717106e+09, 176240
3, 1.53567439557240796e+09, 45152
3, 1.53567439608677506e+09, 45176
3, 1.53567439658699393e+09, 45176
3, 1.53567439708719993e+09, 45176
3, 1.53567439758738804e+09, 45176
3, 1.53567439808759594e+09, 45176
